Period End Date,Month,Calendar Year,Fiscal Year,Malt Beverages: # of Barrels,Malt Beverages: Tax on Barrels,Malt Beverages: # of Gallons,Malt Beverages: Tax on Gallons,Malt Beverages: Total Tax,Cider: # of Barrels,Cider: Tax on Barrels,Cider: # of Gallons,Cider: Tax on Gallons,Cider: Total Tax,Wines under 21% Alcohol from Large Wineries: # of Gallons,Wines under 21% Alcohol from Large Wineries: Tax on Gallons,Wines under 21% Alcohol from Small Wineries: # of Gallons,Wines under 21% Alcohol from Small Wineries: Tax on Gallons,Wines over 21% Alcohol & Sparkling Wines: # of Gallons,Wines over 21% Alcohol & Sparkling Wines: Tax on Gallons,Wines:  Total Tax,Distilled Liquor: # of Gallons,Distilled Liquor:  Tax on Gallons,Liquor Cooler: # of Gallons,Liquor Cooler: Tax on Gallons,Alcohol: # of Proof Gallons,Alcohol: Tax on Proof Gallons,Distilled Spirits: Total Tax,Total Alcoholic Beverages Tax
May 2021,May,2021,FY 2021,10935,78732,4482626,1075830,1154562,205,1624,46210,12015,13638,946947,748088,29660,5932,73422,145376,899396,704614,4185407,151566,410744,6916,41081,4637232,6704828
April 2021,April,2021,FY 2021,10190,73368,3889480,933475,1006843,246,1948,40592,10554,12502,1026815,811184,25694,5139,78077,154592,970915,760956,4520079,104298,282648,4661,27686,4830413,6820673
March 2021,March,2021,FY 2021,10413,74974,3926339,942321,1017295,231,1830,48555,12624,14454,1111850,878362,22214,4443,52003,102966,985770,636390,3780157,62903,170467,7990,47461,3998084,6015603
February 2021,February,2021,FY 2021,6529,47009,3259700,782328,829337,131,1038,35672,9275,10312,875356,691531,12564,2513,63672,126071,820115,690887,4103869,42113,114126,6474,38456,4256451,5916214
January 2021,January,2021,FY 2021,6001,43207,3180096,763223,806430,136,1077,38334,9967,11044,820721,648370,12177,2435,28878,57178,707983,553369,3287012,40989,111080,4854,28833,3426925,4952382
December 2020,December,2020,FY 2021,7650,55080,3969192,952606,1007686,150,1188,58327,15165,16353,1205605,952428,3012,602,115604,228896,1181926,668751,3972381,48738,132080,7313,43439,4147900,6353866
November 2020,November,2020,FY 2021,6088,43834,3609412,866259,910092,157,1243,62175,16166,17409,1189827,939963,35025,7005,103552,205033,1152001,686796,4079568,47010,127397,11399,67710,4274675,6354178
October 2020,October,2020,FY 2021,9366,67435,4062961,975111,1042546,283,2241,62456,16239,18480,1159844,916277,41665,8333,79181,156778,1081388,720432,4279366,30667,83108,7641,45388,4407861,6550275
September 2020,September,2020,FY 2021,5585,40212,4428633,1062872,1103084,248,1964,51235,13321,15285,995929,786784,40225,8045,54092,107102,901931,672662,3995612,66228,179478,5853,34767,4209857,6230157
August 2020,August,2020,FY 2021,7365,53028,4872391,1169374,1222402,151,1196,44485,11566,12762,915484,723232,35611,7122,57388,113628,843983,695369,4130492,61348,166253,7918,47033,4343778,6422925
